"code","name","state","district","subdivision","pop","tier","lat","lon","canonical"
"SHJ","SHAHJAHANPUR","UTTAR PRADESH","SHAHJAHANPUR","WEST UTTAR PRADESH",320434,2,27.88,79.9,true
"SHL","Shillong","MEGHALAYA","EAST KHASI HILLS","ASSAM & MEGHALAYA",143229,3,25.57,91.88,true
"SHOLAPUR","Sholapur","MAHARASHTRA","SHOLAPUR","MADHYA MAHARASHTRA",997281,2,17.83,75.52,false
"SHOLINGANALLUR","Sholinganallur","TAMILNADU","CHENNAI","TAMILNADU, PUDUCHERRY & KARAIKAL",4681087,1,12.91,80.24,true
"SHOPIAN","Shopian","JAMMU & KASHMIR (UT)","SHOPIAN","JAMMU & KASHMIR AND LADAKH",16360,3,33.72,74.79,true
"SHP","Sheopur","MADHYA PRADESH","SHEOPUR","WEST MADHYA PRADESH",71951,3,25.67,76.68,true
"SHR","Tirupati","ANDHRA PRADESH","TIRUPATI","RAYALSEEMA",295323,2,13.72,80.2,true
"SHRAVASTI","Shrawasti","UTTAR PRADESH","SHRAWASTI","EAST UTTAR PRADESH",22016,3,27.61,81.92,true
"SIANG","East Siang","ARUNACHAL PRADESH","EAST SIANG","ARUNACHAL PRADESH",25581,3,28.48,94.78,false
"SIBSAGAR","Sibsagar","ASSAM","SIBSAGAR","ASSAM & MEGHALAYA",62104,3,26.95,94.74,false
"SIDDHI","Sidhi","MADHYA PRADESH","SIDHI","EAST MADHYA PRADESH",54331,3,24.32,81.75,false
"SIDDIPET","Siddipet","TELANGANA","SIDDIPET","TELANGANA",66737,3,18.01,78.9,true
"SIDHARTH-NGR","Siddharth Nagar","UTTAR PRADESH","SIDDHARTH NAGAR","EAST UTTAR PRADESH",39926,3,27.26,82.87,true
"SIKAR","Sikar","RAJASTHAN","SIKAR","EAST RAJASTHAN",244497,2,27.66,75.1,true
"SILVASSA","Silvassa","DADRA & NAGAR HAVELI AND DAMAN & DIU (UT)","DADARA & NAGAR HAVELI","GUJARAT REGION",98265,3,20.27,73,true
"SIMDEGA","Simdega","JHARKHAND","SIMDEGA","JHARKHAND",42944,3,22.59,84.54,true
"SINDHUDURG","Sindhudurg","MAHARASHTRA","SINDHUDURG","KONKAN & GOA",23851,3,16.14,73.76,false
"SINGROLI","Singrauli","MADHYA PRADESH","SINGRAULI","EAST MADHYA PRADESH",220257,2,24.24,82.35,true
"SIRMUR","Sirmaur","HIMACHAL PRADESH","SIRMAUR","HIMACHAL PRADESH",28899,3,30.7,77.43,true
"SIROHI","Sirohi","RAJASTHAN","SIROHI","EAST RAJASTHAN",55599,3,24.81,72.71,true
"SIRSA","Sirsa","HARYANA","SIRSA","DELHI, HARYANA AND CHANDIGARH",182534,3,29.6,74.89,true
"SITAMARHI","Sitamarhi","BIHAR","SITAMARHI","BIHAR",67818,3,26.57,85.54,true
"SITAPUR","Sitapur","UTTAR PRADESH","SITAPUR","EAST UTTAR PRADESH",164435,3,27.51,80.86,true
"SIVAGANGA","Sivaganga","TAMILNADU","SIVAGANGA","TAMILNADU, PUDUCHERRY & KARAIKAL",181851,3,9.88,78.63,false
"SIWAN","Siwan","BIHAR","SIWAN","BIHAR",135066,3,26.13,84.4,true
