"code","station","state","district","subdivision","lat","lon","canonical"
"BULANDSHAHR","Bulandshahar","UTTAR PRADESH","BULANDSHAHAR","WEST UTTAR PRADESH",28.39,78.07,false
"BULDHANA","Buldhana","MAHARASHTRA","BULDHANA","VIDARBHA",20.57,76.38,false
"BUNDI","Bundi","RAJASTHAN","BUNDI","EAST RAJASTHAN",25.44,75.79,false
"BURDWAN","Purba Bardhaman","WEST BENGAL","PURBA BARDHAMAN","GANGETIC WEST BENGAL",23.4,87.75,true
"BURHANPUR","Burhanpur","MADHYA PRADESH","BURHANPUR","WEST MADHYA PRADESH",21.33,76.37,true
"BUXAR","Buxar","BIHAR","BUXAR","BIHAR",25.51,84.08,true
"BWN","Burdwan","WEST BENGAL","PURBA BARDHAMAN","GANGETIC WEST BENGAL",23.23,87.85,true
"BWP","BHAWANIPATNA","ODISHA","KALAHANDI","ODISHA",19.92,83.18,true
"Bihta_bihar","Patna","BIHAR","PATNA","BIHAR",25.557,84.8917,false
"CACHER","Cachar","ASSAM","CACHAR","ASSAM & MEGHALAYA",24.76,92.86,true
"CAVE","Kargil","LADAKH (UT)","KARGIL","JAMMU & KASHMIR AND LADAKH",34.22,75.51,true
"CBL","Chandbali","ODISHA","BHADRAK","ODISHA",20.78,86.73,true
"CBS","West Singhbhum","JHARKHAND","WEST SINGHBHUM","JHARKHAND",22.55,85.82,true
"CDL","CUDDALORE","TAMILNADU","CUDDALORE","TAMILNADU, PUDUCHERRY & KARAIKAL",11.77,79.77,true
"CDP","Cuddappah","ANDHRA PRADESH","YSR DISTRICT","RAYALSEEMA",14.48,78.83,true
"CENTRAL-DELHI","Central Delhi","DELHI (UT)","CENTRAL DELHI","DELHI, HARYANA AND CHANDIGARH",28.67,77.22,true
"CENTRAL-SIKKIM","Mangan","SIKKIM","MANGAN","SHWB & SIKKIM",27.6,88.51,true
"CHA","Chapra","BIHAR","SARAN","BIHAR",25.78,84.73,true
"CHAMARAJNAGAR","Chamarajanagar","KARNATAKA","CHAMARAJANAGAR","SOUTHERN INTERIOR KARNATAKA",11.94,77.09,true
"CHAMBA","Chamba","HIMACHAL PRADESH","CHAMBA","HIMACHAL PRADESH",32.69,76.34,true
"CHAMPAWAT","Champawat","UTTARAKHAND","CHAMPAWAT","UTTARAKHAND",29.29,80.06,true
"CHAMPHAI","Champhai","MIZORAM","CHAMPHAI","NMMT",23.54,93.23,true
"CHANDAULI","Bhabua","BIHAR","BHABUA","BIHAR",25.22,83.49,false
"CHANDEL","Chandel","MANIPUR","CHANDEL","NMMT",24.1,94.07,true
"CHANDIGARH","Chandigarh","CHANDIGARH (UT)","CHANDIGARH","DELHI, HARYANA AND CHANDIGARH",30.73,76.77,true
"CHANDRAPUR","Chandrapur","MAHARASHTRA","CHANDRAPUR","VIDARBHA",20.09,79.4,false
"CHANGLANG","Changlang","ARUNACHAL PRADESH","CHANGLANG","ARUNACHAL PRADESH",27.47,96.4,true
"CHARAIDEO","Sibsagar","ASSAM","SIBSAGAR","ASSAM & MEGHALAYA",27.07,95.07,true
"CHARKHI-DADRI","Charkhi Dadri","HARYANA","CHARKHI DADRI","DELHI, HARYANA AND CHANDIGARH",28.6,76.15,true
"CHATRAI","Chatra","JHARKHAND","CHATRA","JHARKHAND",24.1,84.9,true
"CHB","Coochbehar","WEST BENGAL","COOCH BEHAR","SHWB & SIKKIM",26.33,89.47,true
"CHD","Chandigarh","HARYANA","PANCHKULA","DELHI, HARYANA AND CHANDIGARH",30.73,76.88,true
"CHEMBARAPAKKAM","Chembarapakkam","TAMILNADU","THIRUVALLUR","TAMILNADU, PUDUCHERRY & KARAIKAL",13.02,80.04,true
"CHENNAI","Chennai","TAMILNADU","CHENNAI","TAMILNADU, PUDUCHERRY & KARAIKAL",13.07,80.25,false
"CHETLAT","Chetlat","LAKSHADWEEP (UT)","LAKSHADWEEP","LAKSHADWEEP",11.69,72.7,true
"CHHATARPUR","Chhatarpur","MADHYA PRADESH","CHHATARPUR","EAST MADHYA PRADESH",24.76,79.71,true
"CHHINDWARA","Chhindwara","MADHYA PRADESH","CHHINDWARA","EAST MADHYA PRADESH",22.14,78.83,false
"CHIKBALLAPUR","Chikaballapura","KARNATAKA","CHIKABALLAPURA","SOUTHERN INTERIOR KARNATAKA",13.59,77.79,true
"CHIKMAGALUR","Chikkamagaluru","KARNATAKA","CHIKKAMAGALURU","SOUTHERN INTERIOR KARNATAKA",13.4,75.72,false
"CHILAS","Ladakh (LEH)","LADAKH (UT)","LADAKH (LEH)","JAMMU & KASHMIR AND LADAKH",35.3,74.25,true
"CHINYALISOUR","Chinyalisour","UTTARAKHAND","GARHWAL TEHRI","UTTARAKHAND",30.57,78.32,true
"CHIRANG","Chirang","ASSAM","CHIRANG","ASSAM & MEGHALAYA",26.65,90.65,true
"CHITRADURGA","Chitradurga","KARNATAKA","CHITRADURGA","SOUTHERN INTERIOR KARNATAKA",14.31,76.53,false
"CHITRAKUT","Chitrakoot","UTTAR PRADESH","CHITRAKOOT","EAST UTTAR PRADESH",25.22,81.12,true
"CHITTAURGARH","Chittorgarh","RAJASTHAN","CHITTORGARH","EAST RAJASTHAN",24.92,74.76,false
"CHITTOOR","Chittoor","ANDHRA PRADESH","CHITTOOR","RAYALSEEMA",13.31,79.06,true
"CHM","Joshimath","UTTARAKHAND","CHAMOLI","UTTARAKHAND",30.4,79.33,true
"CHN","Kochi","KERALA","ERNAKULAM","KERALA & MAHE",9.95,76.27,true
"CHOTA-UDEPUR","Chhota Udepur","GUJARAT","CHHOTA UDEPUR","GUJARAT REGION",22.22,73.89,true
"CHP","Janjgir","CHHATTISGARH","JANJGIR","CHHATTISGARH",22.03,82.7,true
"CHT","Chitradurga","KARNATAKA","CHITRADURGA","SOUTHERN INTERIOR KARNATAKA",14.23,76.43,true
"CHURACHANDPUR","Churachandpur","MANIPUR","CHURACHANDPUR","NMMT",24.28,93.43,true
"CHURU","Churu","RAJASTHAN","CHURU","WEST RAJASTHAN",28.4,74.76,false
"CHW","CHHINDWARA","MADHYA PRADESH","CHHINDWARA","EAST MADHYA PRADESH",22.1,79,true
"CKG","Chickmaglur","KARNATAKA","CHIKKAMAGALURU","SOUTHERN INTERIOR KARNATAKA",13.25,75.75,true
"CLB","Mumbai","MAHARASHTRA","MUMBAI CITY","KONKAN & GOA",18.9,72.82,true
"CMB","Coimbatore","TAMILNADU","COIMBATORE","TAMILNADU, PUDUCHERRY & KARAIKAL",11,76.97,true
"CML","Rawatbhata","RAJASTHAN","CHITTORGARH","EAST RAJASTHAN",24.92,75.58,true
"CNB","Carnicobar","ANDAMAN & NICOBAR ISLANDS (UT)","NICOBAR","ANDAMAN & NICOBAR ISLANDS",9.17,92.83,true
"CNG","CANNING","WEST BENGAL","SOUTH 24 PARGANAS","GANGETIC WEST BENGAL",22.25,88.67,true
"CNN","Kannur","KERALA","KANNUR","KERALA & MAHE",11.83,75.33,true
"CNR","Coonoor","TAMILNADU","NILGIRIS","TAMILNADU, PUDUCHERRY & KARAIKAL",11.35,76.8,true
"CNT","CONTAI","WEST BENGAL","EAST MIDNAPORE","GANGETIC WEST BENGAL",21.78,87.75,true
"CNW","Baramula","JAMMU & KASHMIR (UT)","BARAMULA","JAMMU & KASHMIR AND LADAKH",34.14,74.12,false
"COIMBATORE","Coimbatore","TAMILNADU","COIMBATORE","TAMILNADU, PUDUCHERRY & KARAIKAL",10.95,76.98,false
"CPJ","Cherrapunji","MEGHALAYA","EAST KHASI HILLS","ASSAM & MEGHALAYA",25.25,91.73,true
"CPM","CHAPARMUKH","ASSAM","NAGAON","ASSAM & MEGHALAYA",26.2,92.52,true
"CPR","Chandrapur","MAHARASHTRA","CHANDRAPUR","VIDARBHA",19.97,79.3,true
"CRU","Churu","RAJASTHAN","CHURU","WEST RAJASTHAN",28.25,74.92,true
"CTG","Chittorgarh","RAJASTHAN","CHITTORGARH","EAST RAJASTHAN",24.88,74.63,true
"CTK","Bhubneshwar-Cuttack","ODISHA","CUTTACK","ODISHA",20.47,85.93,true
"CUDDALORE","Cuddalore","TAMILNADU","CUDDALORE","TAMILNADU, PUDUCHERRY & KARAIKAL",11.52,79.45,false
"CUDDEPAH","Ysr District","ANDHRA PRADESH","YSR DISTRICT","RAYALSEEMA",14.4,78.65,true
"CUTTACK","Cuttack","ODISHA","CUTTACK","ODISHA",20.5,85.84,true
"Chandkheda","Chandkheda","GUJARAT","AHMEDABAD","GUJARAT REGION",23.108,72.5746,true
"DAKSHAN-DINAJPUR","South Dinajpur","WEST BENGAL","SOUTH DINAJPUR","SHWB & SIKKIM",25.38,88.6,true
"DAKSHINA-KANNAD","Dakshina Kannada","KARNATAKA","DAKSHINA KANNADA","COASTAL KARNATAKA",13.07,75.17,true
"DAL","Dalhousie","HIMACHAL PRADESH","CHAMBA","HIMACHAL PRADESH",32.53,75.97,true
"DAMOH","Damoh","MADHYA PRADESH","DAMOH","EAST MADHYA PRADESH",23.8,79.51,false
"DANGS","Dangs","GUJARAT","DANGS","GUJARAT REGION",20.82,73.71,true
"DANTEWADA","Dantewada","CHHATTISGARH","DANTEWADA","CHHATTISGARH",18.77,81.44,false
"DARBHANGA","Darbhanga","BIHAR","DARBHANGA","BIHAR",26.16,86.04,false
"DARJEELING","Darjeeling","WEST BENGAL","DARJEELING","SHWB & SIKKIM",26.85,88.25,false
"DARRANG","Darrang","ASSAM","DARRANG","ASSAM & MEGHALAYA",26.44,92.07,true
"DATIA","Datia","MADHYA PRADESH","DATIA","WEST MADHYA PRADESH",25.92,78.53,false
"DAUSA","Dausa","RAJASTHAN","DAUSA","EAST RAJASTHAN",26.81,76.62,true
"DBG","DARBHANGA","BIHAR","DARBHANGA","BIHAR",26.17,85.9,true
"DBH","Dibrugarh","ASSAM","DIBRUGARH","ASSAM & MEGHALAYA",27.48,95.02,true
"DDM","Kolkata (Dum Dum)","WEST BENGAL","NORTH 24 PARGANAS","GANGETIC WEST BENGAL",22.65,88.45,true
"DDN","Dehradun-Mokhampur","UTTARAKHAND","DEHRADUN","UTTARAKHAND",30.32,78.03,true
"DEHRADUN","Dehradun","UTTARAKHAND","DEHRADUN","UTTARAKHAND",30.4,77.85,false
"DEMAJ","Dhemaji","ASSAM","DHEMAJI","ASSAM & MEGHALAYA",27.54,94.7,true
"DEOGARH","Deogarh","ODISHA","DEOGARH","ODISHA",21.49,84.8,true
"DEOGHAR","Deoghar","JHARKHAND","DEOGHAR","JHARKHAND",24.33,86.76,true
"DEORIA","Deoria","UTTAR PRADESH","DEORIA","EAST UTTAR PRADESH",26.42,83.84,true
"DER","DEHRI","BIHAR","ROHTAS","BIHAR",24.92,84.18,true
"DEVANGERE","Davangere","KARNATAKA","DAVANGERE","SOUTHERN INTERIOR KARNATAKA",14.37,75.96,true
"DEVBHOOMI-DWARKA","Devbhoomi Dwarka","GUJARAT","DEVBHOOMI DWARKA","SAURASHTRA & KUTCH",22.14,69.44,true
"DEVPRAYAG","Devprayag","UTTARAKHAND","GARHWAL PAURI","UTTARAKHAND",30.14,78.61,true
"DEWAS","Dewas","MADHYA PRADESH","DEWAS","WEST MADHYA PRADESH",22.71,76.51,true
"DGB","Tinsukia","ASSAM","TINSUKIA","ASSAM & MEGHALAYA",27.55,95.62,true
"DGH","East Midnapore","WEST BENGAL","EAST MIDNAPORE","GANGETIC WEST BENGAL",21.83,87.78,true
"DGR","Dungarpur","RAJASTHAN","DUNGARPUR","EAST RAJASTHAN",23.83,73.67,true
"DHALAI","Dhalai","TRIPURA","DHALAI","NMMT",23.83,91.96,true
"DHAMTARI","Dhamtari","CHHATTISGARH","DHAMTARI","CHHATTISGARH",20.63,81.79,true
"DHANBAD","Dhanbad","JHARKHAND","DHANBAD","JHARKHAND",23.84,86.47,false
"DHAR","Dhar","MADHYA PRADESH","DHAR","WEST MADHYA PRADESH",22.58,75.09,false
"DHARMAPURI","Dharmapuri","TAMILNADU","DHARMAPURI","TAMILNADU, PUDUCHERRY & KARAIKAL",12.14,78.21,false
"DHARWAD","Dharwad","KARNATAKA","DHARWAD","NORTHERN INTERIOR KARNATAKA",15.37,75.15,true
"DHAULPUR","Dholpur","RAJASTHAN","DHOLPUR","EAST RAJASTHAN",26.66,77.75,false
"DHB","DHUBRI","ASSAM","DHUBRI","ASSAM & MEGHALAYA",26.02,89.98,true
"DHD","Dahod","GUJARAT","DAHOD","GUJARAT REGION",22.83,74.27,true
"DHENKANAL","Dhenkanal","ODISHA","DHENKANAL","ODISHA",20.84,85.6,true
"DHN","Dahanu","MAHARASHTRA","PALGHAR","KONKAN & GOA",19.97,72.72,true
"DHR","Dhar","MADHYA PRADESH","DHAR","WEST MADHYA PRADESH",22.6,75.3,true
"DHUBR","Dhubri","ASSAM","DHUBRI","ASSAM & MEGHALAYA",26.1,90,false
"DHULE","Dhule","MAHARASHTRA","DHULE","MADHYA MAHARASHTRA",21.13,74.53,false
"DIBRUGARH","Dibrugarh","ASSAM","DIBRUGARH","ASSAM & MEGHALAYA",27.4,95.03,false
"DIMAPUR","Dimapur","NAGALAND","DIMAPUR","NMMT",25.81,93.77,true
"DINDIGUL","Dindigul","TAMILNADU","DINDIGUL","TAMILNADU, PUDUCHERRY & KARAIKAL",10.43,77.8,true
"DINDORI","Dindori","MADHYA PRADESH","DINDORI","EAST MADHYA PRADESH",23.05,80.9,true
"DIU","Diu","DADRA & NAGAR HAVELI AND DAMAN & DIU (UT)","DIU","SAURASHTRA & KUTCH",20.72,70.92,true
"DJL","Darjeeling","WEST BENGAL","DARJEELING","SHWB & SIKKIM",27.05,88.27,true
"DLP","Dholpur","RAJASTHAN","DHOLPUR","EAST RAJASTHAN",26.67,77.83,true
"DMD","Diamond Harbour","WEST BENGAL","SOUTH 24 PARGANAS","GANGETIC WEST BENGAL",22.18,88.2,true
"DMH","DAMOH","MADHYA PRADESH","DAMOH","EAST MADHYA PRADESH",23.83,79.45,true
"DMK","Dumka","JHARKHAND","DUMKA","JHARKHAND",24.27,87.25,true
"DMN","Daman","DADRA & NAGAR HAVELI AND DAMAN & DIU (UT)","DAMAN","GUJARAT REGION",20.42,72.85,true
"DNB","Dhanbad","JHARKHAND","DHANBAD","JHARKHAND",23.78,86.43,true
"DODA","Doda","JAMMU & KASHMIR (UT)","DODA","JAMMU & KASHMIR AND LADAKH",33.12,75.7,true
"DOHAD","Dahod","GUJARAT","DAHOD","GUJARAT REGION",22.92,74.14,false
"DPR","Dharmapuri","TAMILNADU","DHARMAPURI","TAMILNADU, PUDUCHERRY & KARAIKAL",12.13,78.03,true
"DRC","Dharchula","UTTARAKHAND","PITHORAGARH","UTTARAKHAND",29.85,80.53,true
"DRG","Durg","CHHATTISGARH","DURG","CHHATTISGARH",21.18,81.28,true
"DRM","Dharamsala","HIMACHAL PRADESH","KANGRA","HIMACHAL PRADESH",32.21,76.32,true
"DRP","Solan","HIMACHAL PRADESH","SOLAN","HIMACHAL PRADESH",30.9,77.02,true
"DRS","Kargil","LADAKH (UT)","KARGIL","JAMMU & KASHMIR AND LADAKH",34.43,75.77,false
"DSA","Deesa","GUJARAT","BANASKANTHA","GUJARAT REGION",24.2,72.2,true
"DTA","DATIA","MADHYA PRADESH","DATIA","WEST MADHYA PRADESH",25.67,78.47,true
"DTG","Daltonganj","JHARKHAND","PALAMU","JHARKHAND",24.05,84.07,true
"DUMKA","Dumka","JHARKHAND","DUMKA","JHARKHAND",24.31,87.29,false
"DUNGARPUR","Dungarpur","RAJASTHAN","DUNGARPUR","EAST RAJASTHAN",23.67,73.87,false
"DURG","Durg","CHHATTISGARH","DURG","CHHATTISGARH",21.2,81.38,false
"DVG","Sindhudurg","MAHARASHTRA","SINDHUDURG","KONKAN & GOA",16.38,73.35,true
"DWK","Dwarka","GUJARAT","DEVBHOOMI DWARKA","SAURASHTRA & KUTCH",22.37,69.08,true
"Dhule","Dhule","MAHARASHTRA","DHULE","MADHYA MAHARASHTRA",20.9042,74.7749,true
"E-JAINTIA","East Jaintia Hills","MEGHALAYA","EAST JAINTIA HILLS","ASSAM & MEGHALAYA",25.25,92.5,true
"EAST","Pakyong","SIKKIM","PAKYONG","SHWB & SIKKIM",27.28,88.68,true
"EAST-DELHI","East Delhi","DELHI (UT)","EAST DELHI","DELHI, HARYANA AND CHANDIGARH",28.61,77.31,true
"EAST-GARO","East Garo Hills","MEGHALAYA","EAST GARO HILLS","ASSAM & MEGHALAYA",25.7,90.69,true
"EAST-GODAVARI","Sri Alluri Sitharamaraju District","ANDHRA PRADESH","SRI ALLURI SITHARAMARAJU DISTRICT","COASTAL ANDHRA PRADESH & YANAM",17.5,82.09,true
"EAST-KAMENG","East Kameng","ARUNACHAL PRADESH","EAST KAMENG","ARUNACHAL PRADESH",27.4,93.2,false
"EAST-KHASI","East Khasi Hills","MEGHALAYA","EAST KHASI HILLS","ASSAM & MEGHALAYA",25.35,91.8,true
"EAST-SIANG","East Siang","ARUNACHAL PRADESH","EAST SIANG","ARUNACHAL PRADESH",27.95,95.26,true
"EAST-SINGBHUM","East Singhbhum","JHARKHAND","EAST SINGHBHUM","JHARKHAND",22.61,86.48,true
"EDAKALINADU","Edakalinadu","TAMILNADU","VILLUPURAM","TAMILNADU, PUDUCHERRY & KARAIKAL",12.28,79.8,true
"ENNORE-PORT","Ennore-Port","","","",13.27,88.33,true
"ENP","Pali","RAJASTHAN","PALI","WEST RAJASTHAN",25.08,73.14,true
"ERNAKULAM","Ernakulam","KERALA","ERNAKULAM","KERALA & MAHE",10.05,76.5,true
"ERODE","Erode","TAMILNADU","ERODE","TAMILNADU, PUDUCHERRY & KARAIKAL",11.49,77.38,true
"ETAH","Etah","UTTAR PRADESH","ETAH","WEST UTTAR PRADESH",27.55,78.73,true
"ETAWAH","Etawah","UTTAR PRADESH","ETAWAH","WEST UTTAR PRADESH",26.72,79.04,true
"ETW","Bhind","MADHYA PRADESH","BHIND","WEST MADHYA PRADESH",26.45,79.02,false
"FAIZABAD","Ayodhya","UTTAR PRADESH","AYODHYA","EAST UTTAR PRADESH",26.67,82.01,true
"FARIDABAD","Faridabad","HARYANA","FARIDABAD","DELHI, HARYANA AND CHANDIGARH",28.33,77.35,true
"FARIDKOT","Faridkot","PUNJAB","FARIDKOT","PUNJAB",30.6,74.76,true
"FARRUKHABAD","Farrukhabad","UTTAR PRADESH","FARRUKHABAD","EAST UTTAR PRADESH",27.33,79.63,true
"FATEHABAD","Fatehabad","HARYANA","FATEHABAD","DELHI, HARYANA AND CHANDIGARH",29.53,75.59,true
"FATEHGARH","Farrukhabad","UTTAR PRADESH","FARRUKHABAD","EAST UTTAR PRADESH",27.45,79.5,false
"FATEHGARH-SAHIB","Fatehgarh Sahib","PUNJAB","FATEHGARH SAHIB","PUNJAB",30.6,76.33,true
"FATEHPUR","Fatehpur","UTTAR PRADESH","FATEHPUR","EAST UTTAR PRADESH",25.83,80.78,false
"FAZILIKA","Fazilka","PUNJAB","FAZILKA","PUNJAB",30.36,74.17,true
"FBG","Farbesganj","BIHAR","ARARIA","BIHAR",26.3,87.27,true
"FEROZEPUR","Ferozepur","PUNJAB","FEROZEPUR","PUNJAB",30.9,74.8,true
"FIROZABAD","Firozabad","UTTAR PRADESH","FIROZABAD","WEST UTTAR PRADESH",27.19,78.51,true
"FTP","Fatehpur","UTTAR PRADESH","FATEHPUR","EAST UTTAR PRADESH",25.93,80.83,true
"FURSATGANJ","Fursatganj","UTTAR PRADESH","RAE BAREILLY","EAST UTTAR PRADESH",26.25,81.3,true
"FZB","Ayodhya","UTTAR PRADESH","AYODHYA","EAST UTTAR PRADESH",26.75,82.08,false
"FZP","Ferozepur","PUNJAB","FEROZEPUR","PUNJAB",30.92,74.67,false
"GADAG","Gadag","KARNATAKA","GADAG","NORTHERN INTERIOR KARNATAKA",15.41,75.66,false
"GADCHIROLI","Gadchiroli","MAHARASHTRA","GADCHIROLI","VIDARBHA",19.76,80.32,true
"GAJAPATI","Gajapati","ODISHA","GAJAPATI","ODISHA",18.92,84.12,true
"GANDERBAL","Ganderbal","JAMMU & KASHMIR (UT)","GANDERBAL","JAMMU & KASHMIR AND LADAKH",34.31,75.19,true
"GANDHINAGAR","Gandhinagar","GUJARAT","GANDHINAGAR","GUJARAT REGION",23.2,72.78,false
"GANGANAGAR","Sri Ganganagar","RAJASTHAN","SRI GANGANAGAR","WEST RAJASTHAN",29.2,73.55,false
"GANGOTRI","Gangotri","UTTARAKHAND","UTTARKASHI","UTTARAKHAND",30.99,78.93,true
"GANJAM","Ganjam","ODISHA","GANJAM","ODISHA",19.63,84.65,true
"GARHWA","Garhwa","JHARKHAND","GARHWA","JHARKHAND",24.05,83.7,true
"GARIYABAND","Gariaband","CHHATTISGARH","GARIABAND","CHHATTISGARH",20.4,82.29,true
"GAUCHAR","Gauchar","UTTARAKHAND","CHAMOLI","UTTARAKHAND",30.28,79.15,true
"GAYA","Gaya","BIHAR","GAYA","BIHAR",24.67,84.85,false
"GDA","Gonda","UTTAR PRADESH","GONDA","EAST UTTAR PRADESH",27.13,81.97,true
"GDG","Gadag","KARNATAKA","GADAG","NORTHERN INTERIOR KARNATAKA",15.42,75.63,true
"GDN","Gandhinagar","GUJARAT","GANDHINAGAR","GUJARAT REGION",23.21,72.63,true
"GGN","Sriganganagar","RAJASTHAN","SRI GANGANAGAR","WEST RAJASTHAN",29.92,73.92,true
"GHAT","Chamoli","UTTARAKHAND","CHAMOLI","UTTARAKHAND",30.61,79.56,true
"GHAZIABAD","North Delhi","DELHI (UT)","NORTH DELHI","DELHI, HARYANA AND CHANDIGARH",28.7,77.2,true
"GHAZIPUR","Ghazipur","UTTAR PRADESH","GHAZIPUR","EAST UTTAR PRADESH",25.6,83.51,false
"GHT","Guwahati","ASSAM","KAMRUP METROPOLITAN","ASSAM & MEGHALAYA",26.1,91.58,true
"GILGIT","Ladakh (LEH)","LADAKH (UT)","LADAKH (LEH)","JAMMU & KASHMIR AND LADAKH",36.45,74.75,false
"GILGIT-WAZARAD","Ladakh (LEH)","LADAKH (UT)","LADAKH (LEH)","JAMMU & KASHMIR AND LADAKH",35.05,74.85,false
"GIR-SOMNATH","Gir Somnath","GUJARAT","GIR SOMNATH","SAURASHTRA & KUTCH",20.94,70.8,true
"GIRIDIH","Giridih","JHARKHAND","GIRIDIH","JHARKHAND",24.33,86.12,true
"GLB","Kalaburgi","KARNATAKA","KALABURAGI","NORTHERN INTERIOR KARNATAKA",17.35,76.85,true
"GLM","Gulmarg","JAMMU & KASHMIR (UT)","BARAMULA","JAMMU & KASHMIR AND LADAKH",34.05,74.4,true
"GLP","Goalpara","ASSAM","GOALPARA","ASSAM & MEGHALAYA",26.18,90.63,true
"GLT","Golaghat","ASSAM","GOLAGHAT","ASSAM & MEGHALAYA",26.52,93.98,true
"GNA","Guna","MADHYA PRADESH","GUNA","WEST MADHYA PRADESH",24.65,77.32,true
"GND","Gondia","MAHARASHTRA","GONDIA","VIDARBHA",21.47,80.2,true
"GOA","GOA","GOA","SOUTH GOA","KONKAN & GOA",15.38,73.82,true
"GOALPARA","Goalpara","ASSAM","GOALPARA","ASSAM & MEGHALAYA",26.06,90.61,false
"GODDA","Godda","JHARKHAND","GODDA","JHARKHAND",24.86,87.29,true
"GOLAGHAT","Golaghat","ASSAM","GOLAGHAT","ASSAM & MEGHALAYA",26.66,93.74,false
"GOMATI","Gomati","TRIPURA","GOMATI","NMMT",23.51,91.62,true
"GONDA","Gonda","UTTAR PRADESH","GONDA","EAST UTTAR PRADESH",27.11,82.07,false
"GONDIA","Gondia","MAHARASHTRA","GONDIA","VIDARBHA",21.34,80.24,false
"GOPALGANJ","Gopalganj","BIHAR","GOPALGANJ","BIHAR",26.42,84.41,true
"GORAKHPUR","Gorakhpur","UTTAR PRADESH","GORAKHPUR","EAST UTTAR PRADESH",26.68,83.5,false
"GPL","Gopalpur","ODISHA","GANJAM","ODISHA",19.27,84.88,true
"GPR","Sonitpur","ASSAM","SONITPUR","ASSAM & MEGHALAYA",26.83,93.58,false
"GRG","Gurgaon","HARYANA","GURGAON","DELHI, HARYANA AND CHANDIGARH",28.42,77,true
"GRK","Gorakhpur","UTTAR PRADESH","GORAKHPUR","EAST UTTAR PRADESH",26.75,83.37,true
"GTK","Gangtok","SIKKIM","GANGTOK","SHWB & SIKKIM",27.33,88.62,true
"GULBARGA","Kalaburagi","KARNATAKA","KALABURAGI","NORTHERN INTERIOR KARNATAKA",17.24,76.88,true
"GUMLA","Gumla","JHARKHAND","GUMLA","JHARKHAND",23.16,84.53,true
"GUNA","Guna","MADHYA PRADESH","GUNA","WEST MADHYA PRADESH",24.5,77.27,false
"GUND","Pulwama","JAMMU & KASHMIR (UT)","PULWAMA","JAMMU & KASHMIR AND LADAKH",34.11,75.05,true
"GUNTUR","Palnadu","ANDHRA PRADESH","PALNADU","COASTAL ANDHRA PRADESH & YANAM",16.28,80.06,true
"GURDASPUR","Gurdaspur","PUNJAB","GURDASPUR","PUNJAB",31.88,75.32,true
"GURGAON","Gurgaon","HARYANA","GURGAON","DELHI, HARYANA AND CHANDIGARH",28.37,76.95,false
"GURUVAYUR","Guruvayur","KERALA","THRISSUR","KERALA & MAHE",10.59,76.04,true
"GWALIOR","Gwalior","MADHYA PRADESH","GWALIOR","WEST MADHYA PRADESH",25.95,78.29,false
"GWL","Gwalior","MADHYA PRADESH","GWALIOR","WEST MADHYA PRADESH",26.23,78.25,true
"GYA","Gaya","BIHAR","GAYA","BIHAR",24.75,84.95,true
"GZB","Ghaziabad","UTTAR PRADESH","GHAZIABAD","WEST UTTAR PRADESH",28.69,77.41,true
"GZP","GHAZIPUR","UTTAR PRADESH","GHAZIPUR","EAST UTTAR PRADESH",25.4,83.55,true
"HAILAKANDI","Cachar","ASSAM","CACHAR","ASSAM & MEGHALAYA",24.45,92.83,false
"HAMIRPUR","Hamirpur","HIMACHAL PRADESH","HAMIRPUR","HIMACHAL PRADESH",31.66,76.51,true
"HANUMANGARH","Hanumangarh","RAJASTHAN","HANUMANGARH","WEST RAJASTHAN",29.07,74.67,true
"HARDA","Harda","MADHYA PRADESH","HARDA","WEST MADHYA PRADESH",22.24,77.14,true
"HARDOI","Hardoi","UTTAR PRADESH","HARDOI","EAST UTTAR PRADESH",27.23,80.26,false
"HARIDWAR","Hardwar","UTTARAKHAND","HARDWAR","UTTARAKHAND",29.9,78.02,true
"HARSIL","Harsil","UTTARAKHAND","UTTARKASHI","UTTARAKHAND",31.03,78.73,true
"HASSAN","Hassan","KARNATAKA","HASSAN","SOUTHERN INTERIOR KARNATAKA",13.03,76.1,true
"HATHRAS","Hathras","UTTAR PRADESH","HATHRAS","WEST UTTAR PRADESH",27.45,78.15,true
"HAVERI","Haveri","KARNATAKA","HAVERI","NORTHERN INTERIOR KARNATAKA",14.72,75.42,true
"HAZARIBAGH","Hazaribag","JHARKHAND","HAZARIBAG","JHARKHAND",24.01,85.47,true
"HFL","HAFLONG","ASSAM","DIMA HASAO","ASSAM & MEGHALAYA",25.17,93.02,true
"HINGOLE","Hingoli","MAHARASHTRA","HINGOLI","MARATHWADA",19.55,77.2,false
"HISAR","Hisar","HARYANA","HISAR","DELHI, HARYANA AND CHANDIGARH",29.15,75.72,true
"HISSAR","Hisar","HARYANA","HISAR","DELHI, HARYANA AND CHANDIGARH",29.24,75.79,false
"HMP","Hamirpur","UTTAR PRADESH","HAMIRPUR","WEST UTTAR PRADESH",25.95,80.15,true
"HNK","Hanamkonda","TELANGANA","HANUMAKONDA","TELANGANA",18.02,79.57,true
"HNV","Honnavar","KARNATAKA","UTTARA KANNADA","COASTAL KARNATAKA",14.28,74.45,true
"HOJAI","Nagaon","ASSAM","NAGAON","ASSAM & MEGHALAYA",25.96,92.97,true
