"code","station","state","district","subdivision","lat","lon","canonical"
"A-MALWA","Agar-malwa","MADHYA PRADESH","AGAR-MALWA","WEST MADHYA PRADESH",23.8,76.05,true
"AAA","Ahmednagar","MAHARASHTRA","AHMEDNAGAR","MADHYA MAHARASHTRA",19.08,74.8,true
"ABG","Alibag","MAHARASHTRA","RAIGAD","KONKAN & GOA",18.63,72.87,true
"ABP","Ambikapur","CHHATTISGARH","SURGUJA","CHHATTISGARH",23.17,83.25,true
"ADILABAD","Adilabad","TELANGANA","ADILABAD","TELANGANA",19.55,78.57,true
"AGA","AGATTI","LAKSHADWEEP (UT)","LAKSHADWEEP","LAKSHADWEEP",10.82,72.17,true
"AGB","Agumbe","KARNATAKA","SHIVAMOGGA","SOUTHERN INTERIOR KARNATAKA",13.5,75.08,true
"AGD","Aurangabad","MAHARASHTRA","CHHATRAPATI SAMBHAJINAGAR","MARATHWADA",19.85,75.4,true
"AGR","MO Taj","UTTAR PRADESH","AGRA","WEST UTTAR PRADESH",27.17,78.03,true
"AGRA","Agra","UTTAR PRADESH","AGRA","WEST UTTAR PRADESH",27.08,78.04,true
"AGT","Agartala","TRIPURA","WEST TRIPURA","NMMT",23.88,91.25,true
"AHM","Ahmedabad","GUJARAT","AHMEDABAD","GUJARAT REGION",23.07,72.63,true
"AHMEDABAD","Ahmedabad","GUJARAT","AHMEDABAD","GUJARAT REGION",22.9,72.32,false
"AHMEDNAGAR","Ahmednagar","MAHARASHTRA","AHMEDNAGAR","MADHYA MAHARASHTRA",19.16,74.6,false
"AIZWAL","Aizawl","MIZORAM","AIZAWL","NMMT",23.84,92.92,false
"AJM","Ajmer","RAJASTHAN","AJMER","EAST RAJASTHAN",26.45,74.62,true
"AJMER","Ajmer","RAJASTHAN","AJMER","EAST RAJASTHAN",26.31,74.64,false
"AKL","Akola","MAHARASHTRA","AKOLA","VIDARBHA",20.7,77.07,true
"AKOLA","Akola","MAHARASHTRA","AKOLA","VIDARBHA",20.76,77.15,false
"ALA","Alappuzha","KERALA","ALAPUZHA","KERALA & MAHE",9.55,76.42,true
"ALAPPUZHA","Alapuzha","KERALA","ALAPUZHA","KERALA & MAHE",9.49,76.49,true
"ALB","ALLAHABAD","UTTAR PRADESH","PRAYAGRAJ","EAST UTTAR PRADESH",25.45,81.73,true
"ALD","Adilabad\r\n","TELANGANA","ADILABAD","TELANGANA",19.65,78.53,true
"ALG","Aligarh","UTTAR PRADESH","ALIGARH","WEST UTTAR PRADESH",27.88,78.07,true
"ALIGARH","Aligarh","UTTAR PRADESH","ALIGARH","WEST UTTAR PRADESH",27.88,78.05,false
"ALIRAJPUR","Alirajpur","MADHYA PRADESH","ALIRAJPUR","WEST MADHYA PRADESH",22.28,74.39,true
"ALJ","Alirajpur","MADHYA PRADESH","ALIRAJPUR","WEST MADHYA PRADESH",22.28,74.4,false
"ALMORA","Almora","UTTARAKHAND","ALMORA","UTTARAKHAND",29.7,79.56,true
"ALN","Along","ARUNACHAL PRADESH","WEST SIANG","ARUNACHAL PRADESH",28.16,94.8,true
"ALP","Kolkata","WEST BENGAL","KOLKATA","GANGETIC WEST BENGAL",22.53,88.33,true
"ALW","Alwar","RAJASTHAN","ALWAR","EAST RAJASTHAN",27.5,76.58,true
"ALWAR","Alwar","RAJASTHAN","ALWAR","EAST RAJASTHAN",27.64,76.67,false
"AMB","Ambala","HARYANA","AMBALA","DELHI, HARYANA AND CHANDIGARH",30.38,76.77,true
"AMBALA","Ambala","HARYANA","AMBALA","DELHI, HARYANA AND CHANDIGARH",30.33,76.88,false
"AMBEDKAR","Ambedkar Nagar","UTTAR PRADESH","AMBEDKAR NAGAR","EAST UTTAR PRADESH",26.43,82.7,true
"AMETHI","Amethi","UTTAR PRADESH","AMETHI","EAST UTTAR PRADESH",26.35,81.63,true
"AML","Amreli","GUJARAT","AMRELI","SAURASHTRA & KUTCH",21.6,71.22,true
"AMN","Amini Divi","LAKSHADWEEP (UT)","LAKSHADWEEP","LAKSHADWEEP",11.12,72.73,true
"AMR","Amritsar","PUNJAB","AMRITSAR","PUNJAB",31.63,74.87,true
"AMRAVATI","Amraoti","MAHARASHTRA","AMRAOTI","VIDARBHA",21.16,77.54,true
